host_since,host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel,amenities_category
2017-09-28,19.0,True,True,ΓΟΥΔΙ,37.982490000000006,23.75889,Entire home/apt,4,3.0,35,74.16,1,60,352,7,1.91,True,private,1.0,0,0,0,0,0,high
2019-02-13,3.0,True,True,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96714,23.72803,Entire home/apt,4,2.0,50,98.88,1,90,223,36,1.1,True,private,1.0,0,0,0,0,0,high
2016-03-02,3.0,True,False,ΣΤΑΔΙΟ,37.9668,23.73737,Entire home/apt,4,3.0,10,56.65,2,1125,365,2,0.06,False,private,1.0,0,0,0,0,0,low
2015-10-20,66.0,True,True,ΝΕΟΣ ΚΟΣΜΟΣ,37.96603,23.73198,Entire home/apt,4,2.0,23,41.2,2,1125,357,2,0.07,False,private,1.0,0,0,0,0,0,low
2017-07-28,1.0,True,False,ΓΟΥΔΙ,37.98246,23.76054,Entire home/apt,3,2.0,24,25.75,7,1125,289,5,0.26,True,private,1.0,0,0,0,0,0,low
2017-01-26,33.0,True,True,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96646,23.72587,Entire home/apt,5,4.0,50,83.43,2,350,167,72,2.29,True,private,1.5,0,0,0,0,0,high
2016-05-27,16.0,True,False,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9864,23.72479,Entire home/apt,4,2.0,32,206.0,2,1125,90,52,1.8,True,private,1.0,0,0,0,0,0,medium
2018-08-06,6.0,True,False,ΒΟΤΑΝΙΚΟΣ,37.98668,23.70851,Entire home/apt,5,5.0,14,51.5,3,1125,0,1,0.03,False,private,1.0,0,0,0,0,0,low
2014-08-16,53.0,True,True,ΚΟΛΩΝΑΚΙ,37.97894,23.74266,Entire home/apt,4,1.0,51,109.18,1,1125,282,54,1.82,True,private,1.0,0,0,0,0,0,high
2019-02-15,3.0,True,False,ΓΚΥΖΗ,37.99295,23.74493,Entire home/apt,4,4.0,23,41.2,1,1125,25,2,0.1,True,private,1.0,0,0,0,0,0,low
