host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel
9.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,8,9.0,low,51.5,2,365,54,21,0.24,True,private,1.5,0,1,0,0,0
1.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,4,2.0,high,66.95,1,1125,92,344,3.44,True,private,1.0,1,1,1,1,1
1.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,3.0,low,72.10000000000001,2,1125,358,64,0.64,False,private,1.5,1,1,1,0,0
1.0,False,False,ΘΗΣΕΙΟ,Entire home/apt,4,3.0,low,56.65,2,365,225,202,2.36,True,private,1.0,0,0,0,1,0
1.0,True,False,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,3,1.0,low,61.800000000000004,2,20,364,108,1.09,False,private,1.0,0,0,0,0,0
2.0,True,False,ΖΑΠΠΕΙΟ,Entire home/apt,3,1.0,medium,36.050000000000004,1,15,328,745,7.34,True,private,1.0,1,0,0,1,0
3.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,2,1.0,high,65.92,2,1125,226,283,2.82,True,private,1.0,1,1,1,0,0
2.0,True,False,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,Entire home/apt,2,1.0,low,30.900000000000002,3,1125,240,8,0.08,False,private,1.0,0,0,0,0,0
2.0,True,False,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,3,2.0,high,41.2,2,180,360,172,1.78,False,private,1.0,1,1,1,1,1
8.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,6,4.0,high,246.17000000000002,2,30,333,234,2.46,True,private,2.5,0,1,1,1,1
10.0,True,False,ΑΚΡΟΠΟΛΗ,Entire home/apt,6,3.0,low,149.35,3,30,344,199,2.19,False,private,2.0,0,0,0,0,0
4.0,False,False,ΛΥΚΑΒΗΤΤΟΣ,Entire home/apt,2,1.0,low,27.810000000000002,3,1125,0,10,0.14,False,private,1.0,0,0,0,0,0
1.0,True,False,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Entire home/apt,4,3.0,high,148.32,3,1000,0,58,0.63,False,private,1.0,1,1,1,1,1
19.0,True,True,ΚΥΨΕΛΗ,Private room,2,2.0,high,30.900000000000002,3,1125,324,151,1.53,False,shared,1.5,0,0,1,0,0
